Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Project,Projet,Total,Expense Type,Reduces Greenhouse Gases?,Réduction des émissions de gaz à effet de serre?,Reduces Greenhouse Gases? - Count,Builds climate resiliency?,Renforcer la résilience climatique?,Builds climate resiliency? - Count,Rate Supported,Category of Capital Program,Catégorie de programme d'immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911299 24-26 Drainage Culverts Assessment,911299 Examen des ponceaux de drainage 24-26, 500 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911306 24-26 Storm and Surface Water Rehab,911306 Réfection des réseaux d’eaux pluviales et d’eaux de surface 24-26," 3,900 ",Capital, No  ,Non,0, Yes - Major Contribution ,Oui - Contribution majeure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911307 24-26 Drainage System Renewal,911307 Réfection du réseau de drainage 24-26," 3,500 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911326 24-26 Stormwater Pumping Station Rehab,911326 Programme de réfection des stations de pompage des eaux pluviales 24-26," 1,300 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911339 24-26 Stormwater Mgt: Rehab&Enviro Compl,911339 Gestion des eaux pluviales : réfection et conformité environnementale 24-26," 2,600 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911340 24-26 Linear Storm System Improvements,911340 Améliorations apportées au réseau linéaire de collecte des eaux pluviales 24-26," 1,500 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911341 24-26 Municipal Drain Improvements,911341 Améliorations apportées aux drains municipaux 24-26, 40 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911599 Stormwater Remotes Capitalized Maint,911599 Entretien des installations périphériques de gestion des eaux pluviales, 190 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,904988 March PS Conversion,904988 Conversion de la station de pompage du chemin March," 1,020 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,907459 Conroy Road Trunk Twining,907459 Jumelage du tronc de la route de Conroy, 714 ,Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,908250 Infrastructure Planning Information Mgmt,908250 Gestion de l'information sur la planification des infrastructures, 204 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,909745 Acres Road PS Phase 1 Renewal,909745 Réfection de la station de pompage du chemin Acres - Phase 1, 954 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,909992 Richmond Pump Station,909992 Station de pompage de Richmond," 3,649 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,910326 Reliability Eng Wastewater Treatment,910326 ingénierie de fiabilité traitement des eaux usées, 180 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,910531 SCADA Rehab & Upgrades-Remote Sewer 2022,910531 Réfection et mises à jour du système SCADA – installations d’égouts satellites – 2022," 5,550 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,910692 Hazeldean PS Generator D&C,910692 conception et construction du générateur de la station de pompage Hazeldean, 890 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,910745 Reliability Engineering WWC Remotes,910745 ingénierie de fiabilité collection des stations de pompage d'eaux usées, 200 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,910906 2023 Pump Stations Capacity Increase,910906 Réfection de la station de pompage du chemin Acres - Phase 4," 11,712 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911197 24-26 Pump Stations Capacity Renewal,911197 Améliorations de drain municipal - 24-26," 7,681 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911308 24-26 ORAP Wet Weather IMP,911308 PARO 24-26 - Plan de gestion des infrastructures en période de précipitation," 3,100 ",Capital, No  ,Non,0, Yes - Major Contribution ,Oui - Contribution majeure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911322 24-26 New Vehicles WWC Linear,911322 Nouveaux véhicules de la Direction de la collecte des eaux usées 24-26," 1,290 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911323 24-26 Protective Plumbing Program,911323 Programme d’installation de dispositifs protecteurs sanitaires 24-26, 150 ,Capital, No  ,Non,0, Yes - Major Contribution ,Oui - Contribution majeure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911324 24-26 Forcemain Condition Assess & Rehab,911324 Évaluation et remise en état des conduites de refoulement 24-26, 520 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911325 24-26 WWC Forcemain Rehab,911325 Remise en état des conduites de refoulement et de collecte des eaux usées 24-26, 250 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911327 24-26 Collection Sys CondAssess LargeDia,911327 Évaluation de l’état des conduites de grand diamètre du réseau de canalisations 24-26," 2,075 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911328 24-26 Collection Sys CondAssess SmallDia,911328 Évaluation de l’état des conduites de petit diamètre du réseau de canalisations 24-26," 2,000 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911329 24-26 Sewer Lateral Repairs,911329 Réparations des canalisations latérales des égouts 24-26," 3,500 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911330 24-26 Linear Sewage System Improvements,911330 Améliorations apportées au réseau d’égouts linéaires 2024," 2,000 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911331 24-26 Flow Monitoring System Rehab,911331 Réfection du système de régulation du débit 24-26, 200 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911332 24-26 Sewage Pumping Station Rehab Prog,911332 Programme de réfection des stations de pompage des eaux usées 24-26," 6,855 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911333 24-26 WWC Linear Maintenance,911333 Entretien du réseau de collecte des eaux usées 24-26," 1,300 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911334 24-26 ROPEC -Sewage Treatment Rehab Prog,911334 CEROP - Programme de réfection des installations de traitement des eaux usées 24-26," 30,495 ",Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911335 24-26 Lab Equipment Replacement,911335 Remplacement de l’équipement de laboratoire 24-26, 350 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911336 24-26 ROPEC Capitalized Maintenance,911336 CEROP - Entretien immobilisé 24-26," 2,800 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911355 24-26 Sanitary Sewer Rehab Prog,911355 Programme de réfection des égouts sanitaires 24-26," 1,500 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911364 24-26 ROPEC - SCADA Rehab. & Upgrades,"911364 CEROP -  Réfection du système de contrôle et d’acquisition de données, et mises à jour 24-26"," 4,300 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911367 ROPEC Expansion of Anaerobic Digestion,911367 CEROP - Agrandissement du digesteur anaérobie," 127,108 ",Capital, No  ,Non,0, No  ,Non,0,,Growth,Croissance
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,911385 Infrastructure Capacity Management Prog.,911385 Programme de gestion des capacités d'infrastructure ," 1,530 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Environment,Environnement,911346 24-26 Energy Management & Invest.(BEEM),911346 Stratégie de gestion et d’investissement énergétique 24-26 - Mécanique des bâtiments et Gestion de l'énergie," 2,850 ",Capital, Yes - Moderate Contribution ,Oui - Contribution modérée,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Service Enhancements,Amélioration du service
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,General Government,Administration générale,911258 24-26 Buildings-General Government,911258 Bâtiments 24-26 – Administration générale," 2,050 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,General Government,Administration générale,911267 24-26 Accessibility - General Government,911267 Accessibilité 24-26 – Administration générale, 610 ,Capital, No  ,Non,0, No  ,Non,0,,Service Enhancements,Amélioration du service
Ottawa Public Library Board,C.A. de la Bibliothèque publique d’Ottawa,Boards and Agencies,Conseils et institutions,Library,Bibliothèque,911251 24-26 Buildings-Library,911251 Bâtiments 24-26 – Bibliothèque, 775 ,Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Ottawa Public Library Board,C.A. de la Bibliothèque publique d’Ottawa,Boards and Agencies,Conseils et institutions,Library,Bibliothèque,911254 24-26 Accessibility - Library,911254 Accessibilité 24-26 – Bibliothèque, 290 ,Capital, No  ,Non,0, No  ,Non,0,,Service Enhancements,Amélioration du service
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911119 Transit Structures - LRT2 Delivered,911119 Structures de transit - TLR2 livré, 500 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911262 24-26 Buildings-Transit Services,911262 Bâtiments 24-26 – Services de transport en commun," 4,900 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911309 24-26 Transit Roads,911309 Voies de transport en commun 24-26," 2,600 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911356 24-26 Transit Structures,911356 Structures de transport en commun 24-26," 2,274 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911357 24-26 Bridge Preventative Maint TWY,911357 Entretien préventif des ponts 24-26 - Transitway, 200 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911358 24-26 Regulatory Structural Inspect. TWY,911358 Inspections réglementaires des biens structurels 24-26 - Transitway, 100 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911359 24-26 Transit STR Scoping Pre/Post Eng.,911359 Délimitations préalable et subséquente des travaux d'ingénierie des structures de transport en commun 24-26, 150 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911360 24-26 Trillium Line Structures,911360 Structures de la Ligne Trillium 24-26," 7,254 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911361 24-26 Trillium STR Scoping Pre/Post Eng,911361 Délimitations préalable et subséquente des travaux d'ingénierie des structures de la Ligne Trillium 24-26," 1,300 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911591 Bridge Preventative Maint - LRT,911591 Entretien préventif du pont - TLR," 1,800 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911592 Regulatory Structural Inspec - LRT,911592 Inspection réglementaire de la structure - TLR, 500 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",909394 Arch - Canterbury - Plesser,909394 Arch - Canterbury - Plesser," 1,500 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",909485 Carling Ave - Churchill Ave - Kirkwood,909485 Av. Carling - av. Churchill - Kirkwood, 400 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",909733 Pretoria Ave (Metcalfe-Bank),909733 Av. Pretoria (Metcalfe-Bank), 525 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910092 Breezehill Ave N (Gladstone - Somerset),910092 Avenue Breezehill Nord (avenue Gladstone - rue Somerset)," 7,600 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910106 James St Kent St (Bronson - Bank),910106 Rue James et rue Kent (avenue Bronson – rue Bank)," 8,720 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910107 Arnhem St and Apeldoorn Ave,910107 Rue Arnhem et avenue Apeldoorn," 11,204 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910108 Clare Dovercourt (Chruchill - Hilson & T,910108 Rue Clare et avenue Dovercourt (avenue Churchill – avenue Hilson et avenue Tweedsmuir)," 15,016 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910113 Summit Ave (Alta Vista - Fairbanks),910113 Avenue Summit (promenade Alta Vista – avenue Fairbanks)," 6,500 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910433 St Joseph PS Decomission-Bruyere&Cathcar,910433 Désaffectation de la station de pompage Saint-Joseph - Rues Cathcart et Bruyère," 5,000 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910473 Viscount Ave,910473 Avenue Viscount," 15,355 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910474 Ella St - Ralph St,910474 Entre la rue Ella et la rue Ralph," 7,296 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910475 Hilda St - Manchester Ave,910475 Entre la rue Hilda et l’avenue Manchester," 5,000 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910832 Clarey - Regent - Morris - Monk et al.,910832 Clarey - Regent - Morris - Monk et autres," 10,500 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910834 Jeffery - Arundel - Farnham et al.,910834 Jeffery - Arundel - Farnham et autres," 17,723 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910836 Java - Iona - Calrendon - Kenora,910836 Java - Iona - Calrendon - Kenora," 2,001 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910839 Cameron Ave - Seneca St,910839 Avenue Cameron - rue Seneca," 1,500 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,"Integrated Roads, Water & Wastewater","Réfection intégrée des routes, des réseaux d’aqueduc et d’égouts ",910840 Melbourne - Ravenhill,910840 Melbourne - Ravenhill," 12,000 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
