Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Description,Description (FR),Frais 2023,2023 Fee,Frais 2024,2024 Fee,Frais 2025,2025 Fee,Augmentation,Increase,Effective starting,Date d'entrée en vigueur ,ColSearch,ColSearch_FR
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Program Registrations (Hourly) - Museum Program,Inscriptions au programme (à l'heure) - Programme des musées,,,4.51-55.75,4.51-55.75,4.64-57.39,4.64-57.39,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Program Registrations (Hourly) - Museum Program","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Inscriptions au programme (à l'heure) - Programme des musées"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Program Registrations (Hourly) - Museum Program - School & Summer,Inscriptions au programme (à l'heure) - Programme des musées – année scolaire et été,,,1.36-49.51,1.36-49.51,1.40-50.97,1.40-50.97,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Program Registrations (Hourly) - Museum Program - School & Summer","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Inscriptions au programme (à l'heure) - Programme des musées – année scolaire et été"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Program Registrations (Hourly) - Performing Arts,Inscriptions au programme (à l'heure) - Arts du spectacle,,,4.37-29.84,4.37-29.84,4.50-30.72,4.50-30.72,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Program Registrations (Hourly) - Performing Arts","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Inscriptions au programme (à l'heure) - Arts du spectacle"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Program Registrations (Hourly) - Skating - Learn to Skate,Inscriptions au programme (à l'heure) - Patinage – Cours de patinage,,,13.40-29.74,13.40-29.74,13.80-30.62,13.80-30.62,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Program Registrations (Hourly) - Skating - Learn to Skate","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Inscriptions au programme (à l'heure) - Patinage – Cours de patinage"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Program Registrations (Hourly) - Specialty,Inscriptions au programme (à l'heure) - Cours spécialisé,,,8.34-27.69,8.34-27.69,8.59-28.51,8.59-28.51,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Program Registrations (Hourly) - Specialty","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Inscriptions au programme (à l'heure) - Cours spécialisé"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Program Registrations (Hourly) - Sports,Inscriptions au programme (à l'heure) - Sports,,,0.57-88.40,0.57-88.40,0.59-91.01,0.59-91.01,3.0% - 3.5%,3.0% - 3.5%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Program Registrations (Hourly) - Sports","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Inscriptions au programme (à l'heure) - Sports"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Program Registrations (Hourly) - Visual Arts,Inscriptions au programme (à l'heure) - Arts visuels,,,2.18-34.70,2.18-34.70,2.24-35.72,2.24-35.72,2.8% - 2.9%,2.8% - 2.9%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Program Registrations (Hourly) - Visual Arts","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Inscriptions au programme (à l'heure) - Arts visuels"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Program Registrations (Hourly) - Private Programs and Services,Inscriptions au programme (à l'heure) - Programmes et services privés,,,32.54-82.16,32.54-82.16,33.50-84.58,33.50-84.58,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Program Registrations (Hourly) - Private Programs and Services","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Inscriptions au programme (à l'heure) - Programmes et services privés"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports","Cultural Services, Rentals & Related Fees - Box Office","Services culturels, locations et frais connexes - Billetterie",,,0.03-903.36,0.03-903.36,0.03-930.01,0.03-930.01,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Cultural Services, Rentals & Related Fees - Box Office","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Services culturels, locations et frais connexes - Billetterie"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports","Cultural Services, Rentals & Related Fees - Capital Renewal Fund (Flat)","Services culturels, locations et frais connexes - Fonds de renouvellement des immobilisations (frais fixes)",,,50.00-200.00,50.00-200.00,50.00-200.00,50.00-200.00,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Cultural Services, Rentals & Related Fees - Capital Renewal Fund (Flat)","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Services culturels, locations et frais connexes - Fonds de renouvellement des immobilisations (frais fixes)"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports","Cultural Services, Rentals & Related Fees - Capital Renewal Fund (Per Ticket)","Services culturels, locations et frais connexes - Fonds de renouvellement des immobilisations (par billet)",,,0.75-2.00,0.75-2.00,0.75-2.00,0.75-2.00,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Cultural Services, Rentals & Related Fees - Capital Renewal Fund (Per Ticket)","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Services culturels, locations et frais connexes - Fonds de renouvellement des immobilisations (par billet)"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports","Cultural Services, Rentals & Related Fees - Pouring","Services culturels, locations et frais connexes - Remplissage des réservoirs de boisson",,,2.55-29.07,2.55-29.07,2.55-29.07,2.55-29.07,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Cultural Services, Rentals & Related Fees - Pouring","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Services culturels, locations et frais connexes - Remplissage des réservoirs de boisson"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Non-Resident Surcharge,Redevance supplémentaire des non-résidents,,,25.00%,25.00%,25.00%,25.00%,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Non-Resident Surcharge","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Redevance supplémentaire des non-résidents"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Older Adult Registration Discount,Réduction sur le prix d’inscription pour les aînés,,,10.00%,10.00%,10.00%,10.00%,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Older Adult Registration Discount","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Réduction sur le prix d’inscription pour les aînés"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Fee Assistance,Aide financière,,,185,185,185,185,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Fee Assistance","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Aide financière"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Administrative Charge,Frais d’administration,,,5.14-105.24,5.14-105.24,5.29-108.35,5.29-108.35,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Administrative Charge","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Frais d’administration"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Aquatics -  Learn To Swim,Activités aquatiques – Cours de natation,,,5.13-31.97,5.13-31.97,5.28-32.91,5.28-32.91,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Aquatics -  Learn To Swim","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Activités aquatiques – Cours de natation"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Certification,Certification,,,0.89-26.54,0.89-26.54,0.89-26.54,0.89-26.54,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Certification","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Certification"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Day Camps,Camps de jour,,,1.84-17.82,1.84-17.82,1.89-18.35,1.89-18.35,2.7% - 3.0%,2.7% - 3.0%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Day Camps","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Camps de jour"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Event Admission,Frais d'entrée – événements,,,4.06-25.45,4.06-25.45,4.18-26.20,4.18-26.20,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Event Admission","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Frais d'entrée – événements"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Fee Assistance,Aide financière,,,185,185,185,185,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Fee Assistance","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Aide financière"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Fitness,Conditionnement physique,,,0.16-16.76,0.16-16.76,0.16-17.25,0.16-17.25,0.0% - 2.9%,0.0% - 2.9%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Fitness","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Conditionnement physique"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Fitness Admission,Frais d'entrée – centre de conditionnement physique,,,4.28-12.96,4.28-12.96,4.41-13.34,4.41-13.34,2.9% - 3.0%,2.9% - 3.0%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Fitness Admission","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Frais d'entrée – centre de conditionnement physique"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",General Admission,Frais d'entrée générale,,,0.90-22.20,0.90-22.20,0.93-22.86,0.93-22.86,3.0% - 3.3%,3.0% - 3.3%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services General Admission","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Frais d'entrée générale"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",General Interest,Intérêt généra,,,1.20-75.77,1.20-75.77,1.24-78.01,1.24-78.01,3.0% - 3.3%,3.0% - 3.3%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services General Interest","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Intérêt généra"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Inclusive Recreation,Loisirs inclusifs,,,0.61-43.21,0.61-43.21,0.63-44.48,0.63-44.48,2.9% - 3.3%,2.9% - 3.3%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Inclusive Recreation","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Loisirs inclusifs"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Inclusive Recreation - Integration Fee (per week of camp),Loisirs inclusifs – frais d’intégration (par semaine de camp),,,47.59,47.59,48.99,48.99,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Inclusive Recreation - Integration Fee (per week of camp)","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Loisirs inclusifs – frais d’intégration (par semaine de camp)"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Memberships -  Aquafitness,Abonnements - Aquaforme,,,52.58-878.51,52.58-878.51,54.13-904.43,54.13-904.43,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Memberships -  Aquafitness","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Abonnements - Aquaforme"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Memberships -  Fitness,Abonnements - Conditionnement physique,,,24.14-982.35,24.14-982.35,"24.85-1,011.33","24.85-1,011.33",3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Memberships -  Fitness","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Abonnements - Conditionnement physique"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Memberships -  Multi Visit,Abonnements - Séances multiples,,,2.03-10.82,2.03-10.82,2.09-11.14,2.09-11.14,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Memberships -  Multi Visit","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Abonnements - Séances multiples"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Memberships -  Personal Training,Abonnements - Entraînement personnel,,,22.56-65.23,22.56-65.23,23.23-67.15,23.23-67.15,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Memberships -  Personal Training","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Abonnements - Entraînement personnel"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Memberships -  Skating,Abonnements - Patinage,,,10.83-330.31,10.83-330.31,11.15-340.06,11.15-340.06,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Memberships -  Skating","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Abonnements - Patinage"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Memberships -  Skating - Specialized,Abonnements - Patinage – spécialisé,,,20.76-164.91,20.76-164.91,21.37-169.78,21.37-169.78,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Memberships -  Skating - Specialized","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Abonnements - Patinage – spécialisé"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Memberships -  Special Needs,Abonnements - Besoins particuliers,,,9.25-44.87,9.25-44.87,9.52-46.19,9.52-46.19,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Memberships -  Special Needs","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Abonnements - Besoins particuliers"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Memberships -  Specialized,Abonnements - Cours spécialisé,,,13.99-747.11,13.99-747.11,14.40-769.15,14.40-769.15,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Memberships -  Specialized","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Abonnements - Cours spécialisé"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Memberships -  Swim,Abonnements - Natation,,,23.47-632.62,23.47-632.62,24.16-651.29,24.16-651.29,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Memberships -  Swim","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Abonnements - Natation"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Memberships -  Swim - Wave,Abonnements - Baignade – vagues,,,47.61-770.01,47.61-770.01,49.01-792.73,49.01-792.73,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Memberships -  Swim - Wave","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Abonnements - Baignade – vagues"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Merchandise,Marchandises,,,0.04-425.00,0.04-425.00,0.04-425.00,0.04-425.00,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Merchandise","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Marchandises"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Mooney's Bay - Vehicle (30 min),Baie Mooneys – véhicule (30 min),,,1.25,1.25,1.5,1.5,20.00%,20.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Mooney's Bay - Vehicle (30 min)","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Baie Mooneys – véhicule (30 min)"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Non-Resident Surcharge,Redevance supplémentaire des non-résidents,,,25.00%,25.00%,25.00%,25.00%,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Non-Resident Surcharge","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Redevance supplémentaire des non-résidents"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Older Adult Registration Discount,Réduction sur le prix d’inscription pour les aînés,,,10.00%,10.00%,10.00%,10.00%,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Older Adult Registration Discount","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Réduction sur le prix d’inscription pour les aînés"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",One-on-one Instruction,Cours individue,,,32.54-82.16,32.54-82.16,33.50-84.58,33.50-84.58,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services One-on-one Instruction","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Cours individue"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Performing Arts,Arts du spectacle,,,4.37-29.84,4.37-29.84,4.50-30.72,4.50-30.72,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Performing Arts","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Arts du spectacle"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Petrie - Season Pass,Petrie - Passe de saison,,,30.68,30.68,31.59,31.59,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Petrie - Season Pass","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Petrie - Passe de saison"
